tf_id,bdgi,NA,prop_gi,sum_areas,check,built,description,oslandusetiera,oslandusetierb,capturespecification,planted_by,plant_date,area,class_area,feature,trees,tf_age,elevation
96,449650.38747253,486385.315245323,0.480377389630475,936035.702717852,0,0.702050582003916,Bare Earth Or Grass,Sports Attraction Or Facility,[],Urban,"Landscape contractors

",2021-03-11,205,,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elm, wych(Ulmus glabra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea) | Willow, grey(Salix cinerea subsp. Oleifolia)",973,101
97,374402.0854608,111182.258819312,0.771034095046574,485584.344280111,0,0.845433702639567,Made Surface,Attraction Or Activity,"[""Outdoor Amenity""]",Urban,"Landscape contractors

",2021-03-18,209,34,No,"Alder(Alnus glutinosa) | Alder buckthorn(Frangula alnus) | Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Broom(Cytisus scoparius) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea) | Willow, grey(Salix cinerea subsp. Oleifolia)",966,8.11073017120361
98,2372303.38312229,2046641.4206034,0.53684838541594,2326716.100814,0,0.259383262767903,Bare Earth Or Grass,Unknown Or Unused Natural,[],Rural,"Landscape contractors

",2021-03-26,202,21,No,"Alder(Alnus glutinosa) | Alder buckthorn(Frangula alnus) | Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elder(Sambucus nigra) | Elm, wych(Ulmus glabra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea) | Willow, grey(Salix cinerea subsp. Oleifolia)",958,79.8393325805664
99,973607.28551319,753275.358836579,0.563794701799083,1726882.64434978,0,0.450316182024258,Bare Earth Or Grass,Education,"[""School""]",Urban,"Landscape contractors

",2021-03-25,207,31,Yes,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elder(Sambucus nigra) | Elm, wych(Ulmus glabra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Maple, field(Acer campestre) | Oak, english(Quercus robur) | Spindle(Euonymus europaea) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",959,17.0179119110107
100,615319.3055002,737245.084748632,0.454927920575374,1352564.39024884,0,0.569465382883645,Bare Earth Or Grass,Attraction Or Activity,"[""Outdoor Amenity""]",Rural,"Landscape contractors

",2021-03-26,204,39,Yes,"Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elder(Sambucus nigra) | Elm, wych(Ulmus glabra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Maple, field(Acer campestre) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Spindle(Euonymus europaea) | Wild service tree(Sorbus torminalis)",958,22.4351978302002
132,774067.715876873,414107.694573259,0.651475959752124,1188175.41045013,0,0.621792020333239,Bare Earth Or Grass,Sports Attraction Or Facility,[],Urban,"Volunteer Group, Local Residents, School Children

",2021-10-21,149,,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Bilberry(Vaccinium myrtillus) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Cherry, bird(Prunus padus) | Dog Rose(Rosa canina) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Juniper(Juniperus communis) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Pine, scots(Pinus sylvestris)",749,7.14565229415894
133,734875.995654923,399495.371226754,0.647826643998478,1134371.36688167,0,0.638918379317743,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"Volunteer Group, Local Residents

",2021-10-22,155,,No,"Alder(Alnus glutinosa) | Bilberry(Vaccinium myrtillus) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Juniper(Juniperus communis) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Pine, scots(Pinus sylvestris) | Rowan(Sorbus aucuparia) | Willow, grey(Salix cinerea subsp. Oleifolia)",748,7.6795825958252
134,142303.720012134,158894.124026036,0.472459291554889,301197.84403817,0,0.904125748545407,Made Surface,Attraction Or Activity,"[""Outdoor Amenity""]",Urban,"Volunteer Group, Local Residents

",2021-10-18,138,,No,"Alder(Alnus glutinosa) | Bilberry(Vaccinium myrtillus) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Juniper(Juniperus communis) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Pine, scots(Pinus sylvestris) | Rowan(Sorbus aucuparia)",752,6.08530378341675
135,2256543.43625181,349807.184453789,0.865786597676145,2606350.6207056,0,0.170372830568147,Bare Earth Or Grass,Attraction Or Activity,"[""Outdoor Amenity""]",Urban,"Volunteer Group, Local Residents

",2021-10-19,207,,No,"Alder(Alnus glutinosa) | Bilberry(Vaccinium myrtillus) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Juniper(Juniperus communis) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Pine, scots(Pinus sylvestris) | Rowan(Sorbus aucuparia) | Willow, grey(Salix cinerea subsp. Oleifolia)",751,21.4623470306397
136,705856.602598032,486441.355375769,0.592013596834108,1192297.9579738,0,0.620479772700193,Bare Earth Or Grass,Sports Attraction Or Facility,[],Urban,"Volunteer Group

",2021-12-03,200,16,No,"Apple, crab(Malus sylvestris) | Bilberry(Vaccinium myrtillus) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elm, wych(Ulmus glabra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Juniper(Juniperus communis) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Pine, scots(Pinus sylvestris) | Rowan(Sorbus aucuparia)",706,31.3192958831787
137,1046053.80633348,581584.881273428,0.642681827544586,1627638.6876069,0,0.481906514599513,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"School Children

",2021-12-02,205,25,No,"Apple, crab(Malus sylvestris) | Bilberry(Vaccinium myrtillus) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Broom(Cytisus scoparius) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elm, wych(Ulmus glabra) | Gorse(Ulex europaeus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Juniper(Juniperus communis) | Oak, sessile(Quercus petraea) | Pine, scots(Pinus sylvestris) | Rowan(Sorbus aucuparia)",707,93.0777587890625
138,484332.501222872,196601.679876641,0.711276529606451,680934.181099513,0,0.783251918315561,Made Surface,Unknown Or Unused Artificial,[],Urban,"School Children

",2021-11-24,202,43,Yes,"Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Broom(Cytisus scoparius) | Dog Rose(Rosa canina) | Gorse(Ulex europaeus) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Willow, goat(Salix caprea)",715,141.284133911133
139,326488.770430432,219725.740849639,0.597729946180477,546214.511280072,0,0.826134521082506,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"School Children

",2021-11-16,205,,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elm, wych(Ulmus glabra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",723,12.9053316116333
140,588017.471409246,1540405.88292714,0.276269037459694,2128423.35433638,0,0.322501804330264,Made Surface,Sports Attraction Or Facility,[],Urban,"Volunteer Group, Local Residents

",2021-11-13,205,60,Yes,"Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Spindle(Euonymus europaea) | Wild service tree(Sorbus torminalis)",726,127.145751953125
141,517154.464926224,621602.79826044,0.454139333855079,1138757.26318666,0,0.637522305164089,Scattered Non-Coniferous Trees,Medical Or Health Care,"[""Secondary Health Care""]",Urban,"Volunteer Group, Local Residents

",2021-11-26,196,35,Yes,"Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Broom(Cytisus scoparius) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Gorse(Ulex europaeus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis)",713,79.4107437133789
142,1306196.12486346,477356.703846564,0.732356285632527,1783552.82871002,0,0.432277502090536,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"Volunteer Group, Local Residents, School Children

",2021-11-11,205,25,No,"Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Elder(Sambucus nigra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia)",728,50.1734657287598
143,2570480.83414468,1072174.70273025,0.705661243047407,1356738.855013,0,0.568136609479685,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"School Children

",2021-11-29,204,28,No,"Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Bilberry(Vaccinium myrtillus) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Broom(Cytisus scoparius) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elm, wych(Ulmus glabra) | Gorse(Ulex europaeus) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia)",710,131.795562744141
144,1859096.33640703,990968.830507986,0.652299588791285,2850065.16691501,0,0.0927960811028958,Bare Earth Or Grass,Sports Attraction Or Facility,[],Urban,"Volunteer Group, Local Residents

",2021-11-20,205,56,Yes,"Beech, common(Fagus sylvatica) | Bilberry(Vaccinium myrtillus) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Dog Rose(Rosa canina) | Elm, wych(Ulmus glabra) | Gorse(Ulex europaeus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Spindle(Euonymus europaea) | Whitebeam(Sorbus aria)",719,94.0773544311523
145,680621.076063899,725673.928997985,0.483981720488262,1406295.00506188,0,0.552362396997919,Bare Earth Or Grass,Sports Attraction Or Facility,[],Urban,"School Children

",2021-12-15,205,28,No,"Beech, common(Fagus sylvatica) | Bilberry(Vaccinium myrtillus) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Gorse(Ulex europaeus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Spindle(Euonymus europaea) | Whitebeam(Sorbus aria)",694,61.095401763916
146,2066861.33994012,1040515.79110207,0.66514660203054,3107377.13104219,0,0.0108911390878454,Bare Earth Or Grass,Sports Attraction Or Facility,[],Urban,"Volunteer Group, Local Residents

",2021-11-06,200,21,No,"Beech, common(Fagus sylvatica) | Bilberry(Vaccinium myrtillus) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Gorse(Ulex europaeus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Spindle(Euonymus europaea)",733,66.6741790771484
147,803357.247901175,342197.843758891,0.701282071678457,1145555.09166007,0,0.635358489156422,Heath Or Rough Grassland,Unknown Or Unused Natural,[],Urban,"School Children

",2021-12-08,209,34,No,"Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Dog Rose(Rosa canina) | Elder(Sambucus nigra) | Elm, wych(Ulmus glabra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Maple, field(Acer campestre) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Spindle(Euonymus europaea) | Wild service tree(Sorbus torminalis)",701,73.7025527954102
148,638449.098624924,131061.993661626,0.829681475711826,769511.092286551,0,0.755057011797104,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"School Children

",2021-11-17,207,32,No,"Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Broom(Cytisus scoparius) | Cherry, wild(Prunus avium) | Elm, wych(Ulmus glabra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia)",722,36.9106597900391
149,794291.153021008,535187.364193032,0.597445647098885,1329478.51721404,0,0.576813844501806,Bare Earth Or Grass,Medical Or Health Care,[],Urban,"Volunteer Group, Local Residents

",2021-12-06,206,39,No,"Beech, common(Fagus sylvatica) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Broom(Cytisus scoparius) | Elm, wych(Ulmus glabra) | Gorse(Ulex europaeus) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia)",703,65.3610763549805
150,569308.734049233,579134.619425269,0.495722085313869,1148443.3534745,0,0.634439126867001,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"Corporate Employees, Local Residents, School Children, Earthwatch

",2022-02-10,200,10,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Maple, field(Acer campestre) | Oak, english(Quercus robur) | Poplar, black(Poplus nigra) | Spindle(Euonymus europaea) | Wayfaring tree(Viburnum lantana) | Whitebeam(Sorbus aria) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",637,47.8261756896973
