"location_id","location_type","samplecount"
134894,"Square plot 5 x 5 m, most habitats",5
134895,"Square plot 5 x 5 m, most habitats",5
134955,"Linear plot",2
134956,"Square plot 10 x 10 m, woodlands",2
134957,"Linear plot",2
134958,"Linear plot",2
134959,"Linear plot",2
134974,"Square plot 5 x 5 m, most habitats",16
135061,"Square plot 10 x 10 m, woodlands",7
135066,"Linear plot",7
135073,"Square plot 5 x 5 m, most habitats",7
135075,"Linear plot",7
135076,"Square plot 5 x 5 m, most habitats",2
135102,"Square plot 5 x 5 m, most habitats",13
135103,"Linear plot",13
135104,"Square plot 10 x 10 m, woodlands",5
135105,"Linear plot",13
135106,"Linear plot",13
135108,"Square plot 5 x 5 m, most habitats",4
135109,"Square plot 5 x 5 m, most habitats",4
135110,"Linear plot",4
135112,"Square plot 5 x 5 m, most habitats",4
135113,"Linear plot",4
135127,"Square plot 5 x 5 m, most habitats",8
135140,"Linear plot",10
135141,"Square plot 5 x 5 m, most habitats",10
135142,"Linear plot",10
135143,"Square plot 5 x 5 m, most habitats",10
135144,"Square plot 5 x 5 m, most habitats",10
135146,"Square plot 5 x 5 m, most habitats",5
135150,"Linear plot",5
135151,"Square plot 5 x 5 m, most habitats",5
135154,"Square plot 5 x 5 m, most habitats",5
135177,"Square plot 5 x 5 m, most habitats",1
135182,"Square plot 5 x 5 m, most habitats",1
135185,"Linear plot",1
135194,"Linear plot",1
135195,"Square plot 5 x 5 m, most habitats",1
135210,"Square plot 10 x 10 m, woodlands",4
135211,"Square plot 10 x 10 m, woodlands",4
135223,"Square plot 5 x 5 m, most habitats",5
135226,"Linear plot",5
135231,"Linear plot",4
135236,"Square plot 10 x 10 m, woodlands",5
135237,"Square plot 5 x 5 m, most habitats",4
135239,"Square plot 5 x 5 m, most habitats",4
135250,"Linear plot",15
135251,"Linear plot",15
135252,"Square plot 5 x 5 m, most habitats",4
135254,"Square plot 5 x 5 m, most habitats",14
135255,"Square plot 5 x 5 m, most habitats",14
135314,"Square plot 5 x 5 m, most habitats",2
135315,"Square plot 5 x 5 m, most habitats",2
135316,"Linear plot",2
135329,"Square plot 5 x 5 m, most habitats",1
135363,"Square plot 5 x 5 m, most habitats",13
135365,"Square plot 5 x 5 m, most habitats",12
135366,"Linear plot",12
135368,"Linear plot",12
135369,"Square plot 5 x 5 m, most habitats",12
135387,"Square plot 5 x 5 m, most habitats",11
135431,"Linear plot",9
135432,"Square plot 5 x 5 m, most habitats",5
135433,"Linear plot",6
135459,"Square plot 5 x 5 m, most habitats",8
135460,"Square plot 5 x 5 m, most habitats",8
135461,"Square plot 5 x 5 m, most habitats",8
135462,"Square plot 5 x 5 m, most habitats",9
135463,"Square plot 5 x 5 m, most habitats",8
135541,"Square plot 10 x 10 m, woodlands",7
135542,"Linear plot",6
135543,"Square plot 5 x 5 m, most habitats",4
135544,"Linear plot",7
135563,"Linear plot",15
135567,"Linear plot",15
135668,"Square plot 10 x 10 m, woodlands",15
135676,"Square plot 10 x 10 m, woodlands",2
135677,"Linear plot",2
135678,"Square plot 5 x 5 m, most habitats",2
135679,"Square plot 5 x 5 m, most habitats",2
135680,"Linear plot",2
135682,"Square plot 5 x 5 m, most habitats",9
135683,"Linear plot",9
135684,"Square plot 10 x 10 m, woodlands",9
135685,"Square plot 5 x 5 m, most habitats",9
135686,"Linear plot",9
135690,"Square plot 5 x 5 m, most habitats",5
135691,"Linear plot",4
135737,"Square plot 5 x 5 m, most habitats",15
135749,"Square plot 5 x 5 m, most habitats",15
135780,"Square plot 5 x 5 m, most habitats",1
135794,"Linear plot",1
135797,"Square plot 5 x 5 m, most habitats",1
135807,"Linear plot",1
136024,"Square plot 5 x 5 m, most habitats",3
136025,"Linear plot",3
136026,"Square plot 10 x 10 m, woodlands",3
136027,"Linear plot",3
136028,"Square plot 5 x 5 m, most habitats",3
136029,"Square plot 5 x 5 m, most habitats",6
136032,"Linear plot",3
136035,"Square plot 5 x 5 m, most habitats",2
136037,"Linear plot",5
136041,"Square plot 5 x 5 m, most habitats",2
136064,"Square plot 5 x 5 m, most habitats",4
136071,"Linear plot",4
136076,"Square plot 5 x 5 m, most habitats",4
136077,"Square plot 5 x 5 m, most habitats",4
136078,"Square plot 5 x 5 m, most habitats",4
136089,"Square plot 5 x 5 m, most habitats",1
136090,"Square plot 5 x 5 m, most habitats",1
136091,"Square plot 5 x 5 m, most habitats",2
136097,"Linear plot",1
136198,"Linear plot",3
136199,"Square plot 5 x 5 m, most habitats",3
136201,"Square plot 5 x 5 m, most habitats",3
136202,"Square plot 5 x 5 m, most habitats",3
136204,"Linear plot",3
136278,"Square plot 5 x 5 m, most habitats",6
136281,"Square plot 10 x 10 m, woodlands",6
136287,"Square plot 5 x 5 m, most habitats",6
136294,"Linear plot",6
136295,"Linear plot",6
136323,"Square plot 5 x 5 m, most habitats",5
136350,"Square plot 10 x 10 m, woodlands",2
136431,"Linear plot",12
136433,"Square plot 5 x 5 m, most habitats",4
136434,"Square plot 5 x 5 m, most habitats",10
136435,"Square plot 5 x 5 m, most habitats",3
136436,"Linear plot",12
136437,"Square plot 5 x 5 m, most habitats",12
136438,"Square plot 5 x 5 m, most habitats",12
136439,"Square plot 5 x 5 m, most habitats",3
136440,"Square plot 5 x 5 m, most habitats",3
136442,"Square plot 5 x 5 m, most habitats",3
136443,"Square plot 5 x 5 m, most habitats",3
136444,"Square plot 5 x 5 m, most habitats",3
136460,"Linear plot",5
136462,"Square plot 5 x 5 m, most habitats",5
136464,"Linear plot",6
136465,"Square plot 5 x 5 m, most habitats",5
136466,"Square plot 5 x 5 m, most habitats",5
136502,"Square plot 5 x 5 m, most habitats",1
136503,"Linear plot",1
136505,"Linear plot",1
136506,"Square plot 10 x 10 m, woodlands",1
136508,"Linear plot",1
136545,"Square plot 5 x 5 m, most habitats",7
136546,"Square plot 5 x 5 m, most habitats",7
136547,"Linear plot",7
136548,"Square plot 5 x 5 m, most habitats",7
136549,"Linear plot",8
136589,"Linear plot",12
136590,"Square plot 10 x 10 m, woodlands",12
136591,"Square plot 10 x 10 m, woodlands",12
136592,"Linear plot",12
136593,"Linear plot",12
136596,"Square plot 5 x 5 m, most habitats",12
136597,"Square plot 5 x 5 m, most habitats",12
136598,"Square plot 5 x 5 m, most habitats",10
136624,"Square plot 5 x 5 m, most habitats",8
136633,"Square plot 5 x 5 m, most habitats",1
136635,"Linear plot",1
136659,"Square plot 5 x 5 m, most habitats",10
136660,"Square plot 5 x 5 m, most habitats",7
136661,"Square plot 5 x 5 m, most habitats",7
136663,"Square plot 5 x 5 m, most habitats",1
136664,"Square plot 10 x 10 m, woodlands",4
136665,"Square plot 5 x 5 m, most habitats",4
136666,"Square plot 5 x 5 m, most habitats",4
136667,"Linear plot",4
136669,"Linear plot",4
136671,"Square plot 5 x 5 m, most habitats",3
136672,"Square plot 5 x 5 m, most habitats",1
136699,"Square plot 5 x 5 m, most habitats",3
136700,"Square plot 5 x 5 m, most habitats",3
136701,"Square plot 5 x 5 m, most habitats",3
136702,"Square plot 5 x 5 m, most habitats",3
136704,"Linear plot",3
136705,"Square plot 5 x 5 m, most habitats",3
136706,"Square plot 5 x 5 m, most habitats",3
136734,"Linear plot",16
136735,"Linear plot",16
136736,"Square plot 5 x 5 m, most habitats",16
136737,"Linear plot",16
136738,"Linear plot",16
136742,"Linear plot",8
136743,"Square plot 10 x 10 m, woodlands",8
136744,"Square plot 10 x 10 m, woodlands",8
136745,"Linear plot",8
136747,"Linear plot",4
136758,"Linear plot",7
136759,"Linear plot",6
136760,"Square plot 10 x 10 m, woodlands",6
136761,"Square plot 10 x 10 m, woodlands",6
136762,"Square plot 5 x 5 m, most habitats",6
136763,"Square plot 5 x 5 m, most habitats",2
136765,"Square plot 5 x 5 m, most habitats",2
136770,"Square plot 5 x 5 m, most habitats",2
136772,"Linear plot",2
136773,"Linear plot",2
136800,"Square plot 10 x 10 m, woodlands",13
136841,"Square plot 5 x 5 m, most habitats",3
136842,"Square plot 10 x 10 m, woodlands",3
136843,"Linear plot",3
136844,"Linear plot",3
136845,"Square plot 5 x 5 m, most habitats",3
136847,"Linear plot",12
136862,"Square plot 10 x 10 m, woodlands",2
136864,"Square plot 5 x 5 m, most habitats",1
136865,"Square plot 5 x 5 m, most habitats",2
136866,"Square plot 5 x 5 m, most habitats",2
136868,"Linear plot",2
136869,"Linear plot",2
136879,"Square plot 5 x 5 m, most habitats",5
136883,"Square plot 10 x 10 m, woodlands",2
136884,"Linear plot",2
136885,"Square plot 5 x 5 m, most habitats",2
136886,"Linear plot",2
136887,"Square plot 5 x 5 m, most habitats",2
143152,"Square plot 5 x 5 m, most habitats",7
143154,"Square plot 5 x 5 m, most habitats",7
143155,"Square plot 5 x 5 m, most habitats",6
143158,"Square plot 5 x 5 m, most habitats",2
143169,"Linear plot",6
143172,"Linear plot",6
143173,"Square plot 5 x 5 m, most habitats",6
143175,"Linear plot",6
143176,"Square plot 5 x 5 m, most habitats",6
143207,"Square plot 5 x 5 m, most habitats",6
143208,"Linear plot",6
143209,"Linear plot",6
143210,"Square plot 10 x 10 m, woodlands",6
143211,"Square plot 10 x 10 m, woodlands",6
143212,"Square plot 10 x 10 m, woodlands",9
143214,"Linear plot",2
143215,"Linear plot",1
143216,"Square plot 5 x 5 m, most habitats",3
143229,"Square plot 5 x 5 m, most habitats",15
143235,"Square plot 5 x 5 m, most habitats",16
143236,"Linear plot",15
143237,"Square plot 10 x 10 m, woodlands",6
143239,"Square plot 10 x 10 m, woodlands",7
143240,"Linear plot",6
143241,"Square plot 5 x 5 m, most habitats",12
143242,"Square plot 5 x 5 m, most habitats",12
143247,"Square plot 5 x 5 m, most habitats",11
143256,"Square plot 5 x 5 m, most habitats",3
143257,"Linear plot",1
143259,"Linear plot",14
143270,"Linear plot",10
143273,"Linear plot",8
143274,"Square plot 10 x 10 m, woodlands",12
143275,"Square plot 5 x 5 m, most habitats",11
143276,"Square plot 5 x 5 m, most habitats",10
143287,"Square plot 5 x 5 m, most habitats",10
143288,"Square plot 5 x 5 m, most habitats",10
143289,"Square plot 5 x 5 m, most habitats",11
143290,"Linear plot",3
143291,"Linear plot",9
143292,"Linear plot",12
143294,"Linear plot",12
143295,"Square plot 5 x 5 m, most habitats",12
143313,"Square plot 5 x 5 m, most habitats",12
143314,"Linear plot",11
143315,"Linear plot",11
143325,"Square plot 5 x 5 m, most habitats",1
143326,"Square plot 5 x 5 m, most habitats",1
143328,"Square plot 5 x 5 m, most habitats",1
143330,"Linear plot",1
143331,"Square plot 5 x 5 m, most habitats",1
143340,"Square plot 10 x 10 m, woodlands",2
143341,"Linear plot",2
143342,"Linear plot",2
143343,"Linear plot",12
143344,"Square plot 10 x 10 m, woodlands",2
143345,"Square plot 10 x 10 m, woodlands",2
143349,"Square plot 5 x 5 m, most habitats",11
143351,"Square plot 10 x 10 m, woodlands",12
143352,"Linear plot",1
143363,"Linear plot",2
143364,"Square plot 5 x 5 m, most habitats",2
143366,"Square plot 5 x 5 m, most habitats",2
143367,"Square plot 5 x 5 m, most habitats",2
143368,"Square plot 10 x 10 m, woodlands",2
143371,"Linear plot",2
143373,"Linear plot",2
143374,"Linear plot",2
143381,"Square plot 10 x 10 m, woodlands",2
143385,"Square plot 5 x 5 m, most habitats",3
143386,"Square plot 10 x 10 m, woodlands",3
143387,"Square plot 5 x 5 m, most habitats",2
143388,"Linear plot",3
143389,"Linear plot",1
143390,"Square plot 5 x 5 m, most habitats",3
143398,"Square plot 5 x 5 m, most habitats",1
143401,"Linear plot",1
143404,"Square plot 5 x 5 m, most habitats",4
143405,"Square plot 5 x 5 m, most habitats",5
143406,"Square plot 10 x 10 m, woodlands",2
143409,"Linear plot",10
143410,"Linear plot",10
143411,"Square plot 5 x 5 m, most habitats",10
143412,"Square plot 5 x 5 m, most habitats",10
143413,"Square plot 5 x 5 m, most habitats",10
143414,"Square plot 5 x 5 m, most habitats",4
143415,"Linear plot",2
143425,"Square plot 5 x 5 m, most habitats",4
143426,"Square plot 5 x 5 m, most habitats",4
143427,"Square plot 10 x 10 m, woodlands",4
143428,"Linear plot",4
143429,"Linear plot",4
143433,"Square plot 5 x 5 m, most habitats",3
143440,"Square plot 5 x 5 m, most habitats",9
143445,"Square plot 5 x 5 m, most habitats",1
143447,"Square plot 5 x 5 m, most habitats",3
143448,"Square plot 10 x 10 m, woodlands",1
143449,"Linear plot",9
143450,"Square plot 5 x 5 m, most habitats",3
143452,"Square plot 5 x 5 m, most habitats",9
143454,"Linear plot",9
143455,"Square plot 5 x 5 m, most habitats",9
143456,"Square plot 5 x 5 m, most habitats",5
143459,"Square plot 10 x 10 m, woodlands",5
143500,"Square plot 5 x 5 m, most habitats",4
143506,"Square plot 5 x 5 m, most habitats",5
143507,"Linear plot",13
143530,"Linear plot",5
143531,"Linear plot",7
143532,"Square plot 10 x 10 m, woodlands",3
143534,"Linear plot",10
143535,"Square plot 5 x 5 m, most habitats",10
143536,"Linear plot",10
143537,"Square plot 5 x 5 m, most habitats",8
143538,"Square plot 10 x 10 m, woodlands",4
143539,"Square plot 10 x 10 m, woodlands",8
143540,"Linear plot",2
143541,"Linear plot",2
143542,"Square plot 10 x 10 m, woodlands",3
143543,"Square plot 10 x 10 m, woodlands",4
143931,"Square plot 5 x 5 m, most habitats",6
143933,"Square plot 5 x 5 m, most habitats",13
143952,"Square plot 5 x 5 m, most habitats",5
143955,"Square plot 5 x 5 m, most habitats",7
143957,"Square plot 5 x 5 m, most habitats",6
143958,"Linear plot",2
143959,"Linear plot",7
143961,"Square plot 5 x 5 m, most habitats",2
143962,"Square plot 5 x 5 m, most habitats",2
143963,"Linear plot",2
143964,"Square plot 5 x 5 m, most habitats",7
143966,"Linear plot",2
143967,"Linear plot",7
143968,"Square plot 5 x 5 m, most habitats",2
143969,"Linear plot",9
143971,"Linear plot",9
143980,"Linear plot",13
143981,"Linear plot",13
143982,"Linear plot",4
143983,"Square plot 5 x 5 m, most habitats",4
143984,"Square plot 5 x 5 m, most habitats",2
143986,"Square plot 5 x 5 m, most habitats",4
143987,"Linear plot",4
143988,"Square plot 5 x 5 m, most habitats",14
143989,"Square plot 5 x 5 m, most habitats",4
143991,"Square plot 10 x 10 m, woodlands",13
143992,"Square plot 5 x 5 m, most habitats",2
143998,"Linear plot",2
144006,"Linear plot",13
144008,"Linear plot",2
144009,"Square plot 10 x 10 m, woodlands",2
144010,"Square plot 5 x 5 m, most habitats",2
144011,"Linear plot",2
144012,"Square plot 5 x 5 m, most habitats",2
144022,"Square plot 5 x 5 m, most habitats",1
144023,"Linear plot",1
144024,"Linear plot",1
144029,"Square plot 5 x 5 m, most habitats",2
144030,"Square plot 5 x 5 m, most habitats",2
144031,"Linear plot",2
144032,"Linear plot",13
144034,"Square plot 10 x 10 m, woodlands",13
144036,"Square plot 5 x 5 m, most habitats",3
144037,"Square plot 5 x 5 m, most habitats",3
144038,"Linear plot",3
144039,"Square plot 5 x 5 m, most habitats",1
144063,"Linear plot",5
144090,"Square plot 10 x 10 m, woodlands",7
144092,"Square plot 10 x 10 m, woodlands",7
144093,"Linear plot",7
144100,"Linear plot",4
144101,"Square plot 10 x 10 m, woodlands",4
144102,"Square plot 5 x 5 m, most habitats",4
144103,"Linear plot",4
144105,"Linear plot",4
144121,"Linear plot",13
144122,"Square plot 5 x 5 m, most habitats",12
144123,"Linear plot",14
144124,"Linear plot",12
144127,"Linear plot",7
144139,"Square plot 5 x 5 m, most habitats",1
144140,"Linear plot",16
144141,"Linear plot",16
144142,"Square plot 5 x 5 m, most habitats",16
144143,"Square plot 5 x 5 m, most habitats",16
144144,"Square plot 10 x 10 m, woodlands",16
144149,"Square plot 5 x 5 m, most habitats",8
144150,"Linear plot",8
144151,"Square plot 5 x 5 m, most habitats",14
144152,"Square plot 5 x 5 m, most habitats",14
144153,"Linear plot",8
144155,"Square plot 10 x 10 m, woodlands",14
144159,"Linear plot",15
144166,"Linear plot",12
144169,"Linear plot",5
144171,"Square plot 5 x 5 m, most habitats",8
144172,"Square plot 5 x 5 m, most habitats",8
144189,"Linear plot",14
144190,"Square plot 10 x 10 m, woodlands",14
144191,"Square plot 5 x 5 m, most habitats",15
144192,"Square plot 5 x 5 m, most habitats",1
144193,"Square plot 10 x 10 m, woodlands",4
144194,"Linear plot",2
144196,"Linear plot",4
144204,"Linear plot",2
144212,"Square plot 10 x 10 m, woodlands",2
144213,"Square plot 10 x 10 m, woodlands",2
144214,"Square plot 10 x 10 m, woodlands",2
144215,"Square plot 5 x 5 m, most habitats",2
144216,"Linear plot",2
144217,"Square plot 5 x 5 m, most habitats",2
144219,"Linear plot",2
144220,"Square plot 5 x 5 m, most habitats",2
144221,"Square plot 5 x 5 m, most habitats",2
144222,"Square plot 5 x 5 m, most habitats",2
144223,"Square plot 10 x 10 m, woodlands",2
144224,"Linear plot",2
144225,"Square plot 5 x 5 m, most habitats",2
144227,"Linear plot",4
144228,"Linear plot",1
144238,"Square plot 10 x 10 m, woodlands",6
144242,"Square plot 10 x 10 m, woodlands",4
144243,"Square plot 5 x 5 m, most habitats",4
144247,"Linear plot",1
144248,"Linear plot",7
144249,"Linear plot",2
144250,"Linear plot",2
144252,"Linear plot",10
144255,"Square plot 5 x 5 m, most habitats",8
144256,"Linear plot",8
144257,"Square plot 5 x 5 m, most habitats",8
144259,"Linear plot",8
144260,"Square plot 5 x 5 m, most habitats",8
144262,"Linear plot",7
144276,"Linear plot",4
144278,"Square plot 5 x 5 m, most habitats",1
144280,"Linear plot",1
144281,"Linear plot",1
144282,"Square plot 5 x 5 m, most habitats",1
144283,"Square plot 5 x 5 m, most habitats",1
144285,"Square plot 5 x 5 m, most habitats",4
144294,"Square plot 5 x 5 m, most habitats",4
144299,"Square plot 5 x 5 m, most habitats",10
144300,"Square plot 5 x 5 m, most habitats",10
144301,"Square plot 10 x 10 m, woodlands",10
144302,"Linear plot",10
144303,"Linear plot",10
144304,"Linear plot",4
144359,"Square plot 5 x 5 m, most habitats",8
144366,"Square plot 5 x 5 m, most habitats",5
144367,"Square plot 5 x 5 m, most habitats",6
144368,"Square plot 10 x 10 m, woodlands",6
144370,"Square plot 5 x 5 m, most habitats",6
144373,"Square plot 5 x 5 m, most habitats",6
144374,"Linear plot",6
